====================================================================================================
  TEMPORAL CV — RESULTS SUMMARY
====================================================================================================
  CV strategy  : Expanding-window TimeSeriesSplit  (k=5)
  Primary n    : 100 features per text field
  Models       : ['linear', 'ridge', 'lasso', 'randomforest', 'xgboost', 'mlp']
  Encodings    : ['only_structured', 'label', 'count', 'tfidf', 'clinicalbert', 'sentencebert']

----------------------------------------------------------------------------------------------------
  PER-FOLD RESULTS  (n=100, all models)
----------------------------------------------------------------------------------------------------
  Model          Encoding              Fold       MAE    SMAPE       R²     RMSE
  mlp            ClinicalBERT             0    27.409   22.122   0.8431   45.037
  mlp            ClinicalBERT             1    27.606   23.526   0.8481   43.337
  mlp            ClinicalBERT             2    26.107   22.088   0.8585   39.800
  mlp            ClinicalBERT             3    27.388   22.725   0.8279   43.893
  mlp            ClinicalBERT             4    27.948   22.541   0.8319   43.587
  mlp            Sentence-BERT            0    27.375   22.280   0.8451   44.750
  mlp            Sentence-BERT            1    26.775   22.453   0.8530   42.630
  mlp            Sentence-BERT            2    26.476   22.355   0.8546   40.349
  mlp            Sentence-BERT            3    27.143   22.429   0.8329   43.252
  mlp            Sentence-BERT            4    28.152   22.995   0.8363   43.018
----------------------------------------------------------------------------------------------------
  AGGREGATED  (mean ± std across 5 temporal folds)  —  per model × encoding
----------------------------------------------------------------------------------------------------
  Model          Encoding               MAE mean     ±  SMAPE mean     ±   R² mean       ±  RMSE mean     ±
  --------------------------------------------------------------------------------------------------------
  linear         Structured only          47.439 0.932      45.578 2.646    0.6380  0.0270     65.210 1.345
  linear         Label                    43.116 0.847      42.911 2.587    0.6900  0.0210     60.383 1.464
  linear         Count                    42.851 0.847      42.682 2.295    0.6950  0.0210     59.909 1.534
  linear         TF-IDF                   43.002 0.871      42.716 2.307    0.6920  0.0220     60.200 1.506
  linear         ClinicalBERT             41.215 0.783      41.468 1.791    0.7190  0.0190     57.526 1.641
  linear         Sentence-BERT            41.675 0.581      41.829 2.221    0.7140  0.0170     57.992 1.202
  ridge          Structured only          47.273 0.740      45.071 1.965    0.6400  0.0240     65.069 1.192
  ridge          Label                    42.964 0.662      42.423 1.910    0.6910  0.0180     60.243 1.343
  ridge          Count                    42.665 0.716      42.203 1.669    0.6970  0.0180     59.734 1.463
  ridge          TF-IDF                   42.727 0.673      42.113 1.635    0.6950  0.0190     59.933 1.432
  ridge          ClinicalBERT             41.178 0.765      41.361 1.646    0.7190  0.0190     57.496 1.628
  ridge          Sentence-BERT            41.657 0.567      41.783 2.173    0.7140  0.0170     57.979 1.193
  lasso          Structured only          47.425 0.912      45.546 2.596    0.6380  0.0270     65.198 1.328
  lasso          Label                    43.132 0.859      42.906 2.609    0.6900  0.0210     60.389 1.477
  lasso          Count                    42.815 0.830      42.650 2.290    0.6950  0.0200     59.856 1.546
  lasso          TF-IDF                   42.887 0.804      42.607 2.288    0.6930  0.0210     60.064 1.524
  lasso          ClinicalBERT             41.220 0.786      41.482 1.817    0.7190  0.0190     57.531 1.644
  lasso          Sentence-BERT            41.682 0.590      41.851 2.255    0.7140  0.0170     58.003 1.193
  randomforest   Structured only          36.154 0.850      29.929 0.577    0.7560  0.0160     53.590 1.407
  randomforest   Label                    33.931 0.757      28.243 0.194    0.7800  0.0150     50.882 1.541
  randomforest   Count                    33.148 0.827      27.544 0.282    0.7880  0.0160     49.945 1.563
  randomforest   TF-IDF                   33.146 0.814      27.589 0.193    0.7880  0.0160     49.892 1.711
  randomforest   ClinicalBERT             29.041 0.766      23.877 0.319    0.8260  0.0130     45.258 2.107
  randomforest   Sentence-BERT            28.808 0.726      23.697 0.208    0.8280  0.0130     44.955 2.013
  xgboost        Structured only          35.867 0.940      29.653 0.599    0.7600  0.0140     53.144 1.475
  xgboost        Label                    31.826 0.898      25.982 0.537    0.7960  0.0130     48.954 1.587
  xgboost        Count                    30.811 0.829      25.267 0.489    0.8080  0.0130     47.490 1.708
  xgboost        TF-IDF                   30.789 0.943      25.295 0.697    0.8090  0.0120     47.378 1.792
  xgboost        ClinicalBERT             28.019 0.717      22.860 0.370    0.8360  0.0120     43.976 1.944
  xgboost        Sentence-BERT            27.896 0.556      22.810 0.221    0.8370  0.0110     43.800 1.668
  mlp            Structured only          35.975 1.414      30.193 1.082    0.7600  0.0170     53.188 1.872
  mlp            Label                    30.960 0.970      25.419 0.516    0.8030  0.0140     48.133 1.733
  mlp            Count                    29.970 1.218      24.931 0.858    0.8170  0.0130     46.427 2.075
  mlp            TF-IDF                   30.426 1.119      25.264 0.684    0.8130  0.0140     46.868 1.981
  mlp            ClinicalBERT             27.292 0.699      22.600 0.585    0.8420  0.0120     43.131 1.972
  mlp            Sentence-BERT            27.184 0.641      22.502 0.284    0.8440  0.0100     42.800 1.588
----------------------------------------------------------------------------------------------------
  AGGREGATED  (mean ± std across 5 folds × 6 models)  —  per encoding only
----------------------------------------------------------------------------------------------------
  Encoding               MAE mean     ±  SMAPE mean     ±   R² mean       ±  RMSE mean     ±
  -------------------------------------------------------------------------------------
  Structured only          41.689 5.858      37.662 8.041    0.6990  0.0640     59.233 6.172
  Label                    37.655 5.633      34.647 8.433    0.7420  0.0550     54.831 5.831
  Count                    37.043 5.967      34.213 8.599    0.7500  0.0580     53.893 6.317
  TF-IDF                   37.163 5.926      34.264 8.510    0.7480  0.0590     54.056 6.370
  ClinicalBERT             34.661 6.710      32.275 9.400    0.7770  0.0610     50.820 7.042
  Sentence-BERT            34.817 7.010      32.412 9.683    0.7750  0.0640     50.922 7.348
----------------------------------------------------------------------------------------------------
  BEST CONFIGURATION PER METRIC  (n=100)
----------------------------------------------------------------------------------------------------
  Best mae_mean      : model=mlp            encoding=Sentence-BERT        value=27.1840
  Best smape_mean    : model=mlp            encoding=Sentence-BERT        value=22.5020
  Best r2_mean       : model=mlp            encoding=Sentence-BERT        value=0.8440
  Best rmse_mean     : model=mlp            encoding=Sentence-BERT        value=42.8000
====================================================================================================
  Log saved → ./Overleaf/temporal_cv_results.log
